Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
-1.69224833e-04, 1.29698639e+01, 5.75733231e-03, -9.99999978e-03, -8.52843281e-03, -8.75708647e-03
-1.69224833e-04, 1.29698639e+01, 5.75733231e-03, -9.99999978e-03, -8.52843281e-03, -8.75708647e-03
-2.79621710e-03, 1.28408298e+01, 1.20578567e-02, -9.99999978e-03, -1.38266543e-02, -8.75708647e-03
9.20709164e-04, 1.30556717e+01, 2.45714589e-04, -9.99999978e-03, -8.19162466e-03, -7.94425420e-03
9.27967718e-04, 1.30555515e+01, 2.51797144e-04, -9.99999978e-03, -8.19457415e-03, -7.94451777e-03
-1.69224833e-04, 1.29698639e+01, 5.75733231e-03, -9.99999978e-03, -8.52843281e-03, -8.75708647e-03
-6.90185698e-05, 1.26779785e+01, 1.82605721e-02, -9.99999978e-03, -1.56141287e-02, -9.06477310e-03
-5.56604937e-05, 1.27492857e+01, 1.35981338e-02, -9.99999978e-03, -1.58782322e-02, -8.75796285e-03
2.40273890e-04, 1.27867870e+01, 9.30831954e-03, -9.99999978e-03, -1.56416465e-02, -8.52821209e-03
-2.12458009e-03, 1.29145241e+01, 8.75009410e-03, -9.99999978e-03, -1.12564843e-02, -8.72512627e-03
-2.40104785e-03, 1.29094772e+01, 9.27726738e-03, -9.99999978e-03, -1.13108214e-02, -8.75203311e-03
8.20816349e-05, 1.26396561e+01, 2.04273150e-04, -9.99999978e-03, -1.97405070e-02, -8.10956303e-03
-4.52073204e-04, 1.30864191e+01, -4.46693564e-04, -9.99999978e-03, -5.54689253e-03, -8.04184750e-03
-2.48945871e-04, 1.30005550e+01, 5.94001962e-03, -9.99999978e-03, -5.84813580e-03, -8.76059663e-03
-4.39705298e-04, 1.30870399e+01, -4.65970516e-04, -9.99999978e-03, -5.52841742e-03, -8.03821348e-03
1.33328955e-03, 1.23058157e+01, 8.76132771e-03, -9.99999978e-03, -2.42098067e-02, -8.26924853e-03
2.64679058e-03, 1.23178005e+01, 2.33103661e-03, -9.99999978e-03, -2.42051072e-02, -8.13171361e-03
-7.72736035e-04, 1.25853357e+01, 2.24892311e-02, -9.99999978e-03, -1.71961784e-02, -9.15139355e-03
-3.20588634e-03, 1.24646959e+01, 2.97438391e-02, -9.99999978e-03, -1.79357044e-02, -9.38080810e-03
-3.20588634e-03, 1.24646959e+01, 2.97438391e-02, -9.99999978e-03, -1.79357044e-02, -9.38080810e-03
1.09319354e-03, 1.28879795e+01, -2.43489887e-03, -9.99999978e-03, -1.42511558e-02, -7.91239645e-03
1.08408125e-03, 1.27772408e+01, -3.79245495e-03, -9.99999978e-03, -1.70088895e-02, -7.82903563e-03
7.42163509e-04, 1.27865238e+01, -8.80671665e-04, -9.99999978e-03, -1.70938205e-02, -7.98211433e-03
3.59466387e-04, 1.27934265e+01, -7.98751076e-04, -9.99999978e-03, -1.69811081e-02, -7.97352009e-03
8.58184299e-04, 1.27853231e+01, -9.10997565e-04, -9.99999978e-03, -1.71497650e-02, -7.98436254e-03
1.19445869e-03, 1.27746964e+01, -3.74881178e-03, -9.99999978e-03, -1.71614252e-02, -7.85361324e-03
