"filename", "language", "CSV", "comment", "blank", "total"
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP99_solidYZ1_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 1824, 0, 3, 1827
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP99_solidYZ2_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 1876, 0, 3, 1879
"/dLight/modulusDesignOptimization/opt/paretoAns.csv", "CSV", 454, 0, 1, 455
"/dLight/modulusDesignOptimization/outputs/channelFlow/data/monitors/channel_inlet_flow.csv", "CSV", 102, 0, 1, 103
"/dLight/modulusDesignOptimization/outputs/channelFlow/data/monitors/channel_inlet_pressure.csv", "CSV", 102, 0, 1, 103
"/dLight/modulusDesignOptimization/outputs/channelFlow/data/monitors/channel_outlet_flow.csv", "CSV", 102, 0, 1, 103
"/dLight/modulusDesignOptimization/outputs/channelFlow/data/monitors/channel_outlet_pressure.csv", "CSV", 102, 0, 1, 103
"/dLight/modulusDesignOptimization/outputs/coolingFlow/rsSDF/monitors/cooling_inlet_flow.csv", "CSV", 1002, 0, 1, 1003
"/dLight/modulusDesignOptimization/outputs/coolingFlow/rsSDF/monitors/cooling_inlet_flow_MIN.csv", "CSV", 1002, 0, 1, 1003
"/dLight/modulusDesignOptimization/outputs/coolingFlow/rsSDF/monitors/cooling_outlet_flow.csv", "CSV", 1002, 0, 1, 1003
"/dLight/modulusDesignOptimization/outputs/coolingFlow/rsSDF/monitors/cooling_outlet_flow_MIN.csv", "CSV", 1002, 0, 1, 1003
"Total", "-", 6858782, 0, 395, 6859177
